target,dpi,time,inoc,high_N,high_P,nutrient,round,replicate,sample,shoot_mass_g,root_mass_g,leaf_area_mm2,leaves,mass_ext_mg,PAVmin,PAVint,PAVslope,RPVmin,RPVint,RPVslope,q_group,tech_cycle,quant,quant_adj,quant_zero
PAV,5,1,coinfection,0,0,low,1,2,11coinfectionlow2shoot,0.1532,0.0133,746.368,2,45.4,2800,49.79686006,-3.144371796,2800,52.89612035,-3.471252031,19,NaN,NaN,0,1
PAV,5,1,coinfection,0,0,low,2,3,21coinfectionlow3shoot,0.134,0.0176,679.762,2,50.7,2800,48.985077,-3.008881526,2800,51.57720036,-3.526047897,22,40.47242737,674.7984598,0,1
PAV,5,1,coinfection,0,0,low,3,4,31coinfectionlow4shoot,0.2073,0.0185,1046.657,2,52.2,2800,53.33356801,-3.756567892,2800,52.04851391,-3.525956916,43,44.78379822,188.7784528,0,1
PAV,5,1,coinfection,0,1,P,1,1,11coinfectionP1shoot,0.1564,0.0115,707.601,2,48.7,2800,48.985077,-3.008881526,2800,51.57720036,-3.526047897,22,37.80547333,5194.391582,5194.391582,0
PAV,5,1,coinfection,0,1,P,1,2,11coinfectionP2shoot,0.1427,0.0117,737.51,2,47.7,2800,50.86659032,-3.253289286,2800,49.73738099,-3.558046976,21,NaN,NaN,0,1
PAV,5,1,coinfection,0,1,P,3,4,31coinfectionP4shoot,0.1573,0.0129,697.557,2,50.2,2800,50.87939655,-3.364814314,2800,51.71905654,-3.58935585,18,43.02331924,216.1587939,0,1
PAV,5,1,coinfection,1,0,N,1,1,11coinfectionN1shoot,0.2075,0.0193,1071.933,2,47.3,2800,52.15571661,-3.531808133,2800,53.0766694,-3.844867382,26,45.96311569,56.67346524,0,1
PAV,5,1,coinfection,1,0,N,1,2,11coinfectionN2shoot,0.1319,0.011,642.632,2,50.2,2800,52.3960417,-3.474388187,2800,49.87804498,-3.345626683,25,39.43169022,5387.727039,5387.727039,0
PAV,5,1,coinfection,1,0,N,2,3,21coinfectionN3shoot,0.1361,0.0121,722.77,2,54.8,1000,53.6146004,-3.266960568,1000,48.15826064,-3.23575189,1,NaN,NaN,0,1
PAV,5,1,coinfection,1,0,N,3,4,31coinfectionN4shoot,0.1585,0.0111,675.06,2,48.4,2800,53.33356801,-3.756567892,2800,52.04851391,-3.525956916,43,46.97721481,49.21120224,0,1
