target,dpi,time,inoc,high_N,high_P,nutrient,round,replicate,sample,shoot_mass_g,root_mass_g,leaf_area_mm2,leaves,mass_ext_mg,PAVmin,PAVint,PAVslope,RPVmin,RPVint,RPVslope,q_group,tech_cycle,quant,quant_adj,quant_ul,quant_zero,co,log_quant,conc,log_conc,quant_rd
PAV,5,1,coinfection,0,1,P,1,1,11coinfectionP1shoot,0.1564,0.0115,707.601,2,48.7,2800,48.9850770018075,-3.0088815262222224,2800,51.57720035970756,-3.5260478969999998,22,37.805473325,5194.391581654531,5194.391581654531,742.0559402363616,0,1,6.609424631479737,761.8644150270653,6.6357686068193384,742
PAV,5,1,coinfection,1,0,N,1,2,11coinfectionN2shoot,0.1319,0.011,642.632,2,50.2,2800,52.396041698335196,-3.4743881866666664,2800,49.87804498427564,-3.345626683222222,25,39.431690215,5387.727039204999,5387.727039204999,769.6752913149998,0,1,6.645968726316543,766.608855891434,6.641976705047005,770
PAV,5,1,coinfection,1,1,N+P,1,1,11coinfectionN+P1shoot,0.1049,0.0067,497.974,1,47.3,2800,52.999059720874435,-3.3933433428888917,2800,51.22810233179825,-3.3048075430370365,27,40.412874220000006,5117.773408651812,5117.773408651812,731.1104869502589,0,1,6.594564593267328,772.8440665436142,6.650077303197587,731
PAV,5,1,coinfection,1,1,N+P,1,2,11coinfectionN+P2shoot,0.1795,0.0111,883.895,2,47.9,2800,52.155716614930085,-3.531808133222223,2800,53.07666939625254,-3.84486738162963,26,39.42761993,4016.494279342736,4016.494279342736,573.7848970489623,0,1,6.352254582268416,598.9403935792926,6.3951620832796925,574
PAV,5,1,PAV,0,0,low,2,3,21PAVlow3shoot,0.1859,0.0193,979.905,2,53.4,2800,51.174255418315916,-3.3517181390000026,NA,NA,NA,42,39.20645905,3720.876237641986,3720.876237641986,531.5537482345694,0,0,6.275804318228085,497.70950209229346,6.210016577690081,532
PAV,5,1,PAV,0,1,P,4,5,41PAVP5shoot,0.2299,0.0248,1045.082,2,42,2800,55.29559506087862,-3.4535579345374523,2800,51.96716876869854,-3.3692454026666625,39,42.037525175,6901.758272444393,6901.758272444393,985.9654674920561,0,0,6.893621331161793,1173.7684136810192,7.06797471830657,986
PAV,5,1,PAV,1,0,N,2,3,21PAVN3shoot,0.0931,0.0083,502.888,1,41.4,2800,49.60374995845039,-3.348891957999999,NA,NA,NA,15,37.24664179333333,4896.767392772047,4896.767392772047,699.5381989674353,0,0,6.550420401574399,844.8528973036658,6.7391625261712775,700
PAV,8,2,coinfection,0,1,P,1,2,12coinfectionP2shoot,0.0504,0.0096,280.923,1,30.3,2800,51.38179051920926,-3.4672812150000007,2800,49.968065771911625,-3.525420062,31,37.67944972,8951.539666893728,8951.539666893728,1278.7913809848183,0,1,7.153670677238683,2110.2168003049806,7.6545459701515055,1279
PAV,8,2,coinfection,0,1,P,2,3,22coinfectionP3shoot,0.1011,0.0101,466.961,2,48.1,2800,48.9850770018075,-3.0088815262222224,2800,51.57720035970756,-3.5260478969999998,22,36.68560791,12238.305665077078,12238.305665077078,1748.329380725297,0,1,7.466415971373439,1817.3902086541545,7.505156799689869,1748
PAV,8,2,PAV,0,0,low,5,6,52PAVlow6shoot,0.2274,0.0212,NA,NA,52.1,2800,53.470203207138084,-3.4629721319999986,NA,NA,NA,36,40.40204239,5938.592237252709,5938.592237252709,848.37031960753,0,0,6.7433172381176245,814.1749708325623,6.702175294786449,848
