target,dpi,time,inoc,high_N,high_P,nutrient,round,replicate,sample,shoot_mass.g,root_mass.g,leaf_area.mm2,leaves,mass_ext.mg,PAVmin,PAVint,PAVslope,RPVmin,RPVint,RPVslope,q_group,tech_cycle,quant,quant_adj,quant_zero,co,present
PAV,5,1,coinfection,0,0,low,1,2,11coinfectionlow2shoot,0.1532,0.0133,746.368,2,45.4,2800,49.796860060958295,-3.144371795666668,2800,52.89612035071825,-3.4712520312962956,19,NaN,NaN,0,1,1,0
PAV,5,1,coinfection,0,0,low,2,3,21coinfectionlow3shoot,0.134,0.0176,679.762,2,50.7,2800,48.9850770018075,-3.0088815262222224,2800,51.57720035970756,-3.5260478969999998,22,40.472427370000005,674.7984598149073,0,1,1,0
PAV,5,1,coinfection,0,0,low,3,4,31coinfectionlow4shoot,0.2073,0.0185,1046.657,2,52.2,2800,53.33356800985676,-3.7565678919999974,2800,52.04851390697174,-3.525956916333331,43,44.78379821666667,188.77845275942215,0,1,1,0
PAV,5,1,coinfection,0,1,P,1,1,11coinfectionP1shoot,0.1564,0.0115,707.601,2,48.7,2800,48.9850770018075,-3.0088815262222224,2800,51.57720035970756,-3.5260478969999998,22,37.805473325,5194.391581654531,5194.391581654531,0,1,1
PAV,5,1,coinfection,0,1,P,1,2,11coinfectionP2shoot,0.1427,0.0117,737.51,2,47.7,2800,50.86659032166355,-3.2532892863333336,2800,49.73738099187795,-3.558046975999998,21,NaN,NaN,0,1,1,0
PAV,5,1,coinfection,0,1,P,3,4,31coinfectionP4shoot,0.1573,0.0129,697.557,2,50.2,2800,50.87939654581369,-3.364814314000001,2800,51.71905653844353,-3.58935585048148,18,43.02331924333333,216.15879392575005,0,1,1,0
PAV,5,1,coinfection,1,0,N,1,1,11coinfectionN1shoot,0.2075,0.0193,1071.933,2,47.3,2800,52.155716614930085,-3.531808133222223,2800,53.07666939625254,-3.84486738162963,26,45.96311569,56.6734652364017,0,1,1,0
PAV,5,1,coinfection,1,0,N,1,2,11coinfectionN2shoot,0.1319,0.011,642.632,2,50.2,2800,52.396041698335196,-3.4743881866666664,2800,49.87804498427564,-3.345626683222222,25,39.431690215,5387.727039204999,5387.727039204999,0,1,1
PAV,5,1,coinfection,1,0,N,2,3,21coinfectionN3shoot,0.1361,0.0121,722.77,2,54.8,1000,53.61460039970443,-3.26696056811987,1000,48.158260637525146,-3.2357518895975863,01,NaN,NaN,0,1,1,0
PAV,5,1,coinfection,1,0,N,3,4,31coinfectionN4shoot,0.1585,0.0111,675.06,2,48.4,2800,53.33356800985676,-3.7565678919999974,2800,52.04851390697174,-3.525956916333331,43,46.97721481,49.211202237060384,0,1,1,0
PAV,5,1,coinfection,1,1,N+P,1,1,11coinfectionN+P1shoot,0.1049,0.0067,497.974,1,47.3,2800,52.999059720874435,-3.3933433428888917,2800,51.22810233179825,-3.3048075430370365,27,40.412874220000006,5117.773408651812,5117.773408651812,0,1,1
PAV,5,1,coinfection,1,1,N+P,1,2,11coinfectionN+P2shoot,0.1795,0.0111,883.895,2,47.9,2800,52.155716614930085,-3.531808133222223,2800,53.07666939625254,-3.84486738162963,26,39.42761993,4016.494279342736,4016.494279342736,0,1,1
PAV,5,1,coinfection,1,1,N+P,2,3,21coinfectionN+P3shoot,0.1683,0.0144,978.173,2,46.2,2800,51.38179051920926,-3.4672812150000007,2800,49.968065771911625,-3.525420062,31,40.024581909999995,1885.9805167161162,0,1,1,0
PAV,5,1,coinfection,1,1,N+P,3,4,31coinfectionN+P4shoot,0.1188,0.0102,663.821,2,46.2,2800,52.155716614930085,-3.531808133222223,2800,53.07666939625254,-3.84486738162963,26,43.27455139,327.05650458243935,0,1,1,0
PAV,5,1,PAV,0,0,low,1,1,11PAVlow1shoot,0.1331,0.0124,709.894,2,47.8,2800,48.97662263167208,-3.3588090899999994,NA,NA,NA,13,39.86024094,517.8104857617413,0,1,0,0
PAV,5,1,PAV,0,0,low,1,2,11PAVlow2shoot,0.04,0.0026,206.837,1,16.2,2800,49.60374995845039,-3.348891957999999,NA,NA,NA,15,39.78754044,853.4563432055195,0,1,0,0
PAV,5,1,PAV,0,0,low,2,3,21PAVlow3shoot,0.1859,0.0193,979.905,2,53.4,2800,51.174255418315916,-3.3517181390000026,NA,NA,NA,42,39.20645905,3720.876237641986,3720.876237641986,0,0,1
PAV,5,1,PAV,0,0,low,3,4,31PAVlow4shoot,0.0548,0.0135,176.912,1,19.4,2800,49.67861051029473,-3.3854052233333336,NA,NA,NA,16,40.44931793,532.3536721580515,0,1,0,0
PAV,5,1,PAV,0,0,low,5,6,51PAVlow6shoot,0.1963,0.0164,NA,NA,48.9,2800,51.174255418315916,-3.3517181390000026,NA,NA,NA,42,41.21794891,934.3471973218445,0,1,0,0
PAV,5,1,PAV,0,1,P,1,1,11PAVP1shoot,0.0434,0.0026,203.617,1,22.8,2800,50.34818138034469,-3.3574419663333335,NA,NA,NA,14,NaN,NaN,0,1,0,0
PAV,5,1,PAV,0,1,P,1,2,11PAVP2shoot,0.1333,0.0108,616.449,2,48.8,2800,48.97662263167208,-3.3588090899999994,NA,NA,NA,13,40.401126865,357.38457987973646,0,1,0,0
PAV,5,1,PAV,0,1,P,2,3,21PAVP3shoot,0.1894,0.0211,938.849,2,48.9,2800,48.97662263167208,-3.3588090899999994,NA,NA,NA,13,39.719299316666664,570.3384161890081,0,1,0,0
PAV,5,1,PAV,0,1,P,3,4,31PAVP4shoot,0.1744,0.0243,886.467,2,45.8,2800,49.67861051029473,-3.3854052233333336,NA,NA,NA,16,39.99801636,723.6161406094323,0,1,0,0
PAV,5,1,PAV,0,1,P,4,5,41PAVP5shoot,0.2299,0.0248,1045.082,2,42,2800,55.29559506087862,-3.4535579345374523,2800,51.96716876869854,-3.3692454026666625,39,42.037525175,6901.758272444393,6901.758272444393,0,0,1
PAV,5,1,PAV,0,1,P,5,6,51PAVP6shoot,0.2017,0.0209,NA,NA,45.5,2800,53.470203207138084,-3.4629721319999986,NA,NA,NA,36,NaN,NaN,0,1,0,0
PAV,5,1,PAV,1,0,N,1,1,11PAVN1shoot,0.1343,0.0166,749.404,2,46,2800,48.97662263167208,-3.3588090899999994,NA,NA,NA,13,43.369792939999996,46.69721415027832,0,1,0,0
PAV,5,1,PAV,1,0,N,1,2,11PAVN2shoot,0.0811,0.0035,416.166,1,42.2,2800,51.38179051920926,-3.4672812150000007,2800,49.968065771911625,-3.525420062,31,48.29973602,7.742774384361549,0,1,0,0
PAV,5,1,PAV,1,0,N,2,3,21PAVN3shoot,0.0931,0.0083,502.888,1,41.4,2800,49.60374995845039,-3.348891957999999,NA,NA,NA,15,37.24664179333333,4896.767392772047,4896.767392772047,0,0,1
PAV,5,1,PAV,1,0,N,3,4,31PAVN4shoot,0.1713,0.0181,759.716,2,48,2800,50.22608974830922,-3.560085041666667,NA,NA,NA,17,NaN,NaN,0,1,0,0
