target,dpi,time,inoc,high_N,high_P,nutrient,round,replicate,sample,shoot_mass.g,root_mass.g,leaf_area.mm2,leaves,mass_ext.mg,PAVmin,PAVint,PAVslope,RPVmin,RPVint,RPVslope,q_group,tech_cycle,quant,quant_adj,quant_zero,co,log_quant,conc,log_conc,quant_rd,aphid_mass.mg,quant_t,nutrient_t,ext_date_t,RT_date_t,PCR_date_t,gel_date_t,PAV_t,RPV_t,notes_t,ext_notes_t,gel_notes_t,material,ID,high_N_t,high_P_t,t_up,t_dn,conc_s,quant_s
RPV,5,1,coinfection,0,0,low,2,3,21coinfectionlow3shoot,0.134,0.0176,679.762,2,50.7,2800,48.9850770018075,-3.0088815262222224,2800,51.57720035970756,-3.5260478969999998,22,36.793266296666665,15587.534820214945,15587.534820214945,0,1,9.654226823840805,307.4464461580857,5.728300913243668,15588,53.400000000000006,16417.640224841776,low,2/15/16,2/19/16,2/19/16,2/19/16,0,0,NA,NA,NA,shoot,2.1.coinfection.low.3.low,0,0,0,0,-0.5226623262580039,-0.5413513884095249
RPV,5,1,coinfection,0,0,low,2,3,21coinfectionlow3shoot,0.134,0.0176,679.762,2,50.7,2800,48.9850770018075,-3.0088815262222224,2800,51.57720035970756,-3.5260478969999998,22,36.793266296666665,15587.534820214945,15587.534820214945,0,1,9.654226823840805,307.4464461580857,5.728300913243668,15588,53.400000000000006,16417.640224841776,N,2/15/16,2/19/16,2/19/16,2/19/16,0,0,NA,NA,NA,shoot,2.1.coinfection.low.3.N,1,0,0,0,-0.5226623262580039,-0.5413513884095249
RPV,5,1,coinfection,0,0,low,2,3,21coinfectionlow3shoot,0.134,0.0176,679.762,2,50.7,2800,48.9850770018075,-3.0088815262222224,2800,51.57720035970756,-3.5260478969999998,22,36.793266296666665,15587.534820214945,15587.534820214945,0,1,9.654226823840805,307.4464461580857,5.728300913243668,15588,53.400000000000006,16417.640224841776,N+P,2/15/16,2/19/16,2/19/16,2/19/16,0,0,NA,NA,NA,shoot,2.1.coinfection.low.3.N+P,1,1,0,0,-0.5226623262580039,-0.5413513884095249
RPV,5,1,coinfection,0,0,low,2,3,21coinfectionlow3shoot,0.134,0.0176,679.762,2,50.7,2800,48.9850770018075,-3.0088815262222224,2800,51.57720035970756,-3.5260478969999998,22,36.793266296666665,15587.534820214945,15587.534820214945,0,1,9.654226823840805,307.4464461580857,5.728300913243668,15588,53.400000000000006,16417.640224841776,P,2/15/16,2/19/16,2/19/16,2/19/16,0,1,NA,NA,NA,shoot,2.1.coinfection.low.3.P,0,1,0,0,-0.5226623262580039,-0.5413513884095249
RPV,5,1,coinfection,0,0,low,3,4,31coinfectionlow4shoot,0.2073,0.0185,1046.657,2,52.2,2800,53.33356800985676,-3.7565678919999974,2800,52.04851390697174,-3.525956916333331,43,35.995863596666666,35703.22500303959,35703.22500303959,0,1,10.482996299907256,683.9698276444365,6.527913805018663,35703,83.8,57316.671556603775,low,3/9/16,3/11/16,3/13/16,3/13/16,0,1,NA,NA,NA,shoot,3.1.coinfection.low.4.low,0,0,0,0,-0.5062120282198493,-0.5238333072225974
RPV,5,1,coinfection,0,0,low,3,4,31coinfectionlow4shoot,0.2073,0.0185,1046.657,2,52.2,2800,53.33356800985676,-3.7565678919999974,2800,52.04851390697174,-3.525956916333331,43,35.995863596666666,35703.22500303959,35703.22500303959,0,1,10.482996299907256,683.9698276444365,6.527913805018663,35703,83.8,57316.671556603775,N,3/9/16,3/11/16,3/13/16,3/13/16,0,1,NA,NA,NA,shoot,3.1.coinfection.low.4.N,1,0,0,0,-0.5062120282198493,-0.5238333072225974
RPV,5,1,coinfection,0,0,low,3,4,31coinfectionlow4shoot,0.2073,0.0185,1046.657,2,52.2,2800,53.33356800985676,-3.7565678919999974,2800,52.04851390697174,-3.525956916333331,43,35.995863596666666,35703.22500303959,35703.22500303959,0,1,10.482996299907256,683.9698276444365,6.527913805018663,35703,83.8,57316.671556603775,N+P,3/9/16,3/11/16,3/13/16,3/13/16,0,1,NA,NA,NA,shoot,3.1.coinfection.low.4.N+P,1,1,0,0,-0.5062120282198493,-0.5238333072225974
RPV,5,1,coinfection,0,0,low,3,4,31coinfectionlow4shoot,0.2073,0.0185,1046.657,2,52.2,2800,53.33356800985676,-3.7565678919999974,2800,52.04851390697174,-3.525956916333331,43,35.995863596666666,35703.22500303959,35703.22500303959,0,1,10.482996299907256,683.9698276444365,6.527913805018663,35703,83.8,57316.671556603775,P,3/9/16,3/11/16,3/13/16,3/13/16,1,1,NA,NA,NA,shoot,3.1.coinfection.low.4.P,0,1,1,1,-0.5062120282198493,-0.5238333072225974
RPV,5,1,coinfection,0,1,P,2,3,21coinfectionP3shoot,0.0942,0.0148,622.46,1,47.2,2800,54.4608237007568,-3.962081251962963,2800,49.79641931559469,-3.1170673473333332,29,35.60479990666666,35717.039356171554,35717.039356171554,0,1,10.48338314678967,756.7169355121091,6.628989254198159,35717,37.8,28603.90016235772,low,2/15/16,2/19/16,2/19/16,2/19/16,0,0,NA,NA,NA,shoot,2.1.coinfection.P.3.low,0,0,0,0,-0.5030337087191774,-0.5361317075515918
RPV,5,1,coinfection,0,1,P,2,3,21coinfectionP3shoot,0.0942,0.0148,622.46,1,47.2,2800,54.4608237007568,-3.962081251962963,2800,49.79641931559469,-3.1170673473333332,29,35.60479990666666,35717.039356171554,35717.039356171554,0,1,10.48338314678967,756.7169355121091,6.628989254198159,35717,37.8,28603.90016235772,N,2/15/16,2/19/16,2/19/16,2/19/16,0,1,NA,NA,NA,shoot,2.1.coinfection.P.3.N,1,0,0,0,-0.5030337087191774,-0.5361317075515918
