inoculation,nutrient,nutrient_t,prev,.lower,.upper,.width,.point,.interval,mechanisms
single,low,low,0.5645468725540301,0.3743631204403471,0.7448802057363434,0.95,mean,hdi,density
single,N,N,0.5912130600085328,0.3907828016750273,0.781264788297474,0.95,mean,hdi,density
single,P,P,0.5709756042612999,0.37644925690444425,0.7530313209195773,0.95,mean,hdi,density
single,N+P,N+P,0.5556257241405329,0.3519228529237288,0.7333656299004013,0.95,mean,hdi,density
co,low,low,0.5888628518905586,0.3970037386692849,0.7639109897309809,0.95,mean,hdi,density
co,N,N,0.5739118016529133,0.38387230151221247,0.7526783987443068,0.95,mean,hdi,density
co,P,P,0.5756935892411202,0.38268416557582935,0.751007957583696,0.95,mean,hdi,density
co,N+P,N+P,0.6111770365850133,0.42202848970396784,0.7909357199747812,0.95,mean,hdi,density
single,low,low,0.5743342082321581,0.38482423185709963,0.7529953995227858,0.95,mean,hdi,non-density
single,N,N,0.7650068655626461,0.58933616503308,0.9136083140889749,0.95,mean,hdi,non-density
single,P,P,0.7243313911644583,0.543713596940398,0.8803693753395906,0.95,mean,hdi,non-density
single,N+P,N+P,0.8002168675852722,0.6442854498922032,0.9355423100823523,0.95,mean,hdi,non-density
co,low,low,0.525371573079893,0.3368295021883505,0.7060175389888581,0.95,mean,hdi,non-density
co,N,N,0.8166957183871484,0.6800625976644142,0.9342192567142683,0.95,mean,hdi,non-density
co,P,P,0.6070174708737646,0.406726509599448,0.792666664175099,0.95,mean,hdi,non-density
co,N+P,N+P,0.7735548797147442,0.6142577294464978,0.9148506576830959,0.95,mean,hdi,non-density
single,low,low,0.5645468725540301,0.3743631204403471,0.7448802057363434,0.95,mean,hdi,all
single,N,N,0.7779233096887468,0.6098399083770196,0.9156513580582616,0.95,mean,hdi,all
single,P,P,0.7217420651691326,0.5431565387172772,0.8802024102746463,0.95,mean,hdi,all
single,N+P,N+P,0.7881980510887409,0.6313263289564363,0.9301804756903871,0.95,mean,hdi,all
co,low,low,0.5402597797476575,0.3536353766107516,0.7219566116026918,0.95,mean,hdi,all
co,N,N,0.8164477483269799,0.6798817193105858,0.9338997483349477,0.95,mean,hdi,all
co,P,P,0.6083125635661136,0.41157613337184157,0.7988290655236985,0.95,mean,hdi,all
co,N+P,N+P,0.7981475384609058,0.6405335313623133,0.9327944283215285,0.95,mean,hdi,all
