dpi,time,inoc,nutrient,round,replicate,aphid_mass_mg,conc,quant_t,nutrient_t,ext_date_t,RT_date_t,PCR_date_t,gel_date_t,PAV_t,RPV_t,notes_t,ext_notes_t,gel_notes_t,material,ID,high_N,high_P,high_N_t,high_P_t,co,t_up,t_dn,conc_s,quant_s
5,1,PAV,low,2,3,76,69.67933029292108,5295.629102262002,N,3/31/16,4/1/16,4/1/16,4/4/16,0,0,NA,NA,NA,shoot,2.1.PAV.low.3.N,0,0,1,0,0,0,0,-0.5169369529973517,-0.3565161312063385
5,1,PAV,low,2,3,76,69.67933029292108,5295.629102262002,N+P,3/31/16,4/1/16,4/1/16,4/4/16,0,0,NA,NA,NA,shoot,2.1.PAV.low.3.N+P,0,0,1,1,0,0,0,-0.5169369529973517,-0.3565161312063385
5,1,PAV,low,2,3,76,69.67933029292108,5295.629102262002,P,3/31/16,4/1/16,4/1/16,4/4/16,0,0,NA,NA,NA,shoot,2.1.PAV.low.3.P,0,0,0,1,0,0,0,-0.5169369529973517,-0.3565161312063385
5,1,PAV,N,2,3,37.900000000000006,118.27940562251322,4482.789473093252,low,2/29/16,3/4/16,3/5/16,3/5/16,0.5,0,NA,NA,NA,shoot,2.1.PAV.N.3.low,1,0,0,0,0,1,0,-0.4123225304626329,-0.36614885963717436
5,1,PAV,N,2,3,37.900000000000006,118.27940562251322,4482.789473093252,N,2/29/16,3/4/16,3/5/16,3/5/16,0,0,NA,NA,NA,shoot,2.1.PAV.N.3.N,1,0,1,0,0,0,0,-0.4123225304626329,-0.36614885963717436
5,1,PAV,N,2,3,37.900000000000006,118.27940562251322,4482.789473093252,N+P,2/29/16,3/4/16,3/5/16,3/5/16,1,0,NA,NA,NA,shoot,2.1.PAV.N.3.N+P,1,0,1,1,0,1,1,-0.4123225304626329,-0.36614885963717436
5,1,PAV,N,2,3,37.900000000000006,118.27940562251322,4482.789473093252,P,2/29/16,3/4/16,3/5/16,3/5/16,0,0,NA,NA,NA,shoot,2.1.PAV.N.3.P,1,0,0,1,0,0,0,-0.4123225304626329,-0.36614885963717436
8,2,coinfection,P,2,3,40.7,254.43462921158164,10355.489408911373,low,8/18/15,8/19/15,8/21/15,8/21/15,0,0,NA,NA,NA,shoot,2.2.coinfection.P.3.low,0,1,0,0,1,0,0,-0.11924067834083209,-0.2965531834330326
8,2,coinfection,P,2,3,40.7,254.43462921158164,10355.489408911373,N,8/18/15,8/19/15,8/21/15,8/21/15,1,1,NA,NA,NA,shoot,2.2.coinfection.P.3.N,0,1,1,0,1,1,1,-0.11924067834083209,-0.2965531834330326
8,2,coinfection,P,2,3,40.7,254.43462921158164,10355.489408911373,N+P,8/18/15,8/19/15,8/21/15,8/21/15,1,1,NA,NA,NA,shoot,2.2.coinfection.P.3.N+P,0,1,1,1,1,1,1,-0.11924067834083209,-0.2965531834330326
8,2,coinfection,P,2,3,40.7,254.43462921158164,10355.489408911373,P,8/18/15,8/19/15,8/21/15,8/21/15,1,1,NA,NA,NA,shoot,2.2.coinfection.P.3.P,0,1,0,1,1,1,1,-0.11924067834083209,-0.2965531834330326
8,2,PAV,N,3,4,96.10000000000001,140.67943335984512,13519.293545881117,low,2/16/15,2/19/16,2/19/16,2/19/16,0,0,NA,NA,NA,shoot,3.2.PAV.N.4.low,1,0,0,0,0,0,0,-0.36410519848093115,-0.2590598514568951
8,2,PAV,N,3,4,96.10000000000001,140.67943335984512,13519.293545881117,N,2/16/15,2/19/16,2/19/16,2/19/16,0.5,0,NA,NA,NA,shoot,3.2.PAV.N.4.N,1,0,1,0,0,1,0,-0.36410519848093115,-0.2590598514568951
8,2,PAV,N,3,4,96.10000000000001,140.67943335984512,13519.293545881117,N+P,2/16/15,2/19/16,2/19/16,2/19/16,1,0,NA,NA,NA,shoot,3.2.PAV.N.4.N+P,1,0,1,1,0,1,1,-0.36410519848093115,-0.2590598514568951
8,2,PAV,N,3,4,96.10000000000001,140.67943335984512,13519.293545881117,P,2/16/15,2/19/16,2/19/16,2/19/16,0,0,NA,NA,NA,shoot,3.2.PAV.N.4.P,1,0,0,1,0,0,0,-0.36410519848093115,-0.2590598514568951
8,2,PAV,N+P,3,4,66.9,96.25691678032524,6439.587732603759,low,2/16/15,2/19/16,2/19/16,2/19/16,0,0,NA,NA,NA,shoot,3.2.PAV.N+P.4.low,1,1,0,0,0,0,0,-0.45972718852907785,-0.34295940682091197
8,2,PAV,N+P,3,4,66.9,96.25691678032524,6439.587732603759,N+P,2/16/15,2/19/16,2/19/16,2/19/16,0,0,NA,NA,NA,shoot,3.2.PAV.N+P.4.N+P,1,1,1,1,0,0,0,-0.45972718852907785,-0.34295940682091197
8,2,PAV,N+P,3,4,66.9,96.25691678032524,6439.587732603759,P,2/16/15,2/19/16,2/19/16,2/19/16,0,0,NA,NA,NA,shoot,3.2.PAV.N+P.4.P,1,1,0,1,0,0,0,-0.45972718852907785,-0.34295940682091197
12,3,coinfection,low,4,5,73.2,687.403492486968,50317.93565004606,low,2/9/16,2/12/16,2/12/16,2/12/16,0.5,1,NA,NA,NA,shoot,4.3.coinfection.low.5.low,0,0,0,0,1,1,0,0.8127493916311079,0.17703026188494816
12,3,coinfection,low,4,5,73.2,687.403492486968,50317.93565004606,N,2/9/16,2/12/16,2/12/16,2/12/16,1,1,NA,NA,NA,shoot,4.3.coinfection.low.5.N,0,0,1,0,1,1,1,0.8127493916311079,0.17703026188494816
12,3,coinfection,low,4,5,73.2,687.403492486968,50317.93565004606,N+P,2/9/16,2/12/16,2/12/16,2/12/16,1,1,NA,NA,NA,shoot,4.3.coinfection.low.5.N+P,0,0,1,1,1,1,1,0.8127493916311079,0.17703026188494816
12,3,coinfection,low,4,5,73.2,687.403492486968,50317.93565004606,P,2/9/16,2/12/16,2/12/16,2/12/16,1,1,NA,NA,NA,shoot,4.3.coinfection.low.5.P,0,0,0,1,1,1,1,0.8127493916311079,0.17703026188494816
12,3,coinfection,P,2,3,54.800000000000004,264.069870637475,14471.02891093363,low,2/24/16,2/26/16,2/26/16,2/26/16,1,0.5,NA,NA,RT ctrl positive for RPV,shoot,2.3.coinfection.P.3.low,0,1,0,0,1,1,1,-0.09850027390901672,-0.24778110964782668
12,3,coinfection,P,2,3,54.800000000000004,264.069870637475,14471.02891093363,N,2/24/16,2/26/16,2/26/16,2/26/16,1,1,NA,NA,RT ctrl positive for RPV,shoot,2.3.coinfection.P.3.N,0,1,1,0,1,1,1,-0.09850027390901672,-0.24778110964782668
12,3,coinfection,P,2,3,54.800000000000004,264.069870637475,14471.02891093363,N+P,2/24/16,2/26/16,2/26/16,2/26/16,1,1,NA,NA,RT ctrl positive for RPV,shoot,2.3.coinfection.P.3.N+P,0,1,1,1,1,1,1,-0.09850027390901672,-0.24778110964782668
12,3,coinfection,P,2,3,54.800000000000004,264.069870637475,14471.02891093363,P,2/24/16,2/26/16,2/26/16,2/26/16,1,1,NA,NA,RT ctrl positive for RPV,shoot,2.3.coinfection.P.3.P,0,1,0,1,1,1,1,-0.09850027390901672,-0.24778110964782668
12,3,coinfection,P,3,4,94.89999999999999,82.03146982232278,7784.7864861384305,low,3/1/16,3/4/16,3/5/16,3/5/16,0,1,NA,NA,NA,shoot,3.3.coinfection.P.4.low,0,1,0,0,1,0,0,-0.49034827108331736,-0.32701784367204123
12,3,coinfection,P,3,4,94.89999999999999,82.03146982232278,7784.7864861384305,N,3/1/16,3/4/16,3/5/16,3/5/16,0,1,NA,NA,NA,shoot,3.3.coinfection.P.4.N,0,1,1,0,1,0,0,-0.49034827108331736,-0.32701784367204123
12,3,coinfection,P,3,4,94.89999999999999,82.03146982232278,7784.7864861384305,N+P,3/1/16,3/4/16,3/5/16,3/5/16,0,1,NA,NA,NA,shoot,3.3.coinfection.P.4.N+P,0,1,1,1,1,0,0,-0.49034827108331736,-0.32701784367204123
12,3,coinfection,P,3,4,94.89999999999999,82.03146982232278,7784.7864861384305,P,3/1/16,3/4/16,3/5/16,3/5/16,1,1,NA,NA,NA,shoot,3.3.coinfection.P.4.P,0,1,0,1,1,1,1,-0.49034827108331736,-0.32701784367204123
12,3,coinfection,P,4,5,47.1,222.02376671533068,10457.319412292076,low,2/9/16,2/12/16,2/12/16,2/12/16,1,1,NA,NA,NA,shoot,4.3.coinfection.P.5.low,0,1,0,0,1,1,1,-0.18900690073664253,-0.2953464253795645
12,3,coinfection,P,4,5,47.1,222.02376671533068,10457.319412292076,N,2/9/16,2/12/16,2/12/16,2/12/16,1,1,NA,NA,NA,shoot,4.3.coinfection.P.5.N,0,1,1,0,1,1,1,-0.18900690073664253,-0.2953464253795645
12,3,coinfection,P,4,5,47.1,222.02376671533068,10457.319412292076,N+P,2/9/16,2/12/16,2/12/16,2/12/16,1,1,NA,NA,NA,shoot,4.3.coinfection.P.5.N+P,0,1,1,1,1,1,1,-0.18900690073664253,-0.2953464253795645
12,3,coinfection,P,4,5,47.1,222.02376671533068,10457.319412292076,P,2/9/16,2/12/16,2/12/16,2/12/16,0,1,NA,NA,NA,shoot,4.3.coinfection.P.5.P,0,1,0,1,1,0,0,-0.18900690073664253,-0.2953464253795645
12,3,coinfection,N,3,4,89.30000000000001,145.95485655006345,13033.768689920667,low,3/1/16,3/4/16,3/5/16,3/5/16,1,1,NA,NA,NA,shoot,3.3.coinfection.N.4.low,1,0,0,0,1,1,1,-0.3527495504304246,-0.26481366674352247
