dpi,time,inoc,nutrient,round,replicate,aphid_mass_mg,conc,quant_t,nutrient_t,ext_date_t,RT_date_t,PCR_date_t,gel_date_t,PAV_t,RPV_t,notes_t,ext_notes_t,gel_notes_t,material,ID,high_N,high_P,high_N_t,high_P_t,co,t_up,t_dn,conc_s,quant_s
5,1,coinfection,low,2,3,53.400000000000006,307.4464461580857,16417.640224841776,low,2/15/16,2/19/16,2/19/16,2/19/16,0,0,NA,NA,NA,shoot,2.1.coinfection.low.3.low,0,0,0,0,1,0,0,-0.5284942603893192,-0.5449343463833066
5,1,coinfection,low,2,3,53.400000000000006,307.4464461580857,16417.640224841776,N,2/15/16,2/19/16,2/19/16,2/19/16,0,0,NA,NA,NA,shoot,2.1.coinfection.low.3.N,0,0,1,0,1,0,0,-0.5284942603893192,-0.5449343463833066
5,1,coinfection,low,2,3,53.400000000000006,307.4464461580857,16417.640224841776,N+P,2/15/16,2/19/16,2/19/16,2/19/16,0,0,NA,NA,NA,shoot,2.1.coinfection.low.3.N+P,0,0,1,1,1,0,0,-0.5284942603893192,-0.5449343463833066
5,1,coinfection,low,2,3,53.400000000000006,307.4464461580857,16417.640224841776,P,2/15/16,2/19/16,2/19/16,2/19/16,0,1,NA,NA,NA,shoot,2.1.coinfection.low.3.P,0,0,0,1,1,1,1,-0.5284942603893192,-0.5449343463833066
5,1,coinfection,low,3,4,83.8,683.9698276444365,57316.671556603775,low,3/9/16,3/11/16,3/13/16,3/13/16,0,1,NA,NA,NA,shoot,3.1.coinfection.low.4.low,0,0,0,0,1,1,1,-0.5124581672848147,-0.5278507436003034
5,1,coinfection,low,3,4,83.8,683.9698276444365,57316.671556603775,N,3/9/16,3/11/16,3/13/16,3/13/16,0,1,NA,NA,NA,shoot,3.1.coinfection.low.4.N,0,0,1,0,1,1,1,-0.5124581672848147,-0.5278507436003034
5,1,coinfection,low,3,4,83.8,683.9698276444365,57316.671556603775,N+P,3/9/16,3/11/16,3/13/16,3/13/16,0,1,NA,NA,NA,shoot,3.1.coinfection.low.4.N+P,0,0,1,1,1,1,1,-0.5124581672848147,-0.5278507436003034
5,1,coinfection,low,3,4,83.8,683.9698276444365,57316.671556603775,P,3/9/16,3/11/16,3/13/16,3/13/16,1,1,NA,NA,NA,shoot,3.1.coinfection.low.4.P,0,0,0,1,1,1,1,-0.5124581672848147,-0.5278507436003034
5,1,coinfection,P,2,3,37.8,756.7169355121091,28603.90016235772,low,2/15/16,2/19/16,2/19/16,2/19/16,0,0,NA,NA,NA,shoot,2.1.coinfection.P.3.low,0,1,0,0,1,0,0,-0.5093598752471614,-0.539844122546605
5,1,coinfection,P,2,3,37.8,756.7169355121091,28603.90016235772,N,2/15/16,2/19/16,2/19/16,2/19/16,0,1,NA,NA,NA,shoot,2.1.coinfection.P.3.N,0,1,1,0,1,1,1,-0.5093598752471614,-0.539844122546605
5,1,coinfection,P,2,3,37.8,756.7169355121091,28603.90016235772,N+P,2/15/16,2/19/16,2/19/16,2/19/16,0,1,NA,NA,NA,shoot,2.1.coinfection.P.3.N+P,0,1,1,1,1,1,1,-0.5093598752471614,-0.539844122546605
5,1,coinfection,P,2,3,37.8,756.7169355121091,28603.90016235772,P,2/15/16,2/19/16,2/19/16,2/19/16,0,0,NA,NA,NA,shoot,2.1.coinfection.P.3.P,0,1,0,1,1,0,0,-0.5093598752471614,-0.539844122546605
5,1,coinfection,P,3,4,63.1,800.2437617129526,50495.38136408731,low,3/9/16,3/11/16,3/13/16,3/13/16,0,1,NA,NA,NA,shoot,3.1.coinfection.P.4.low,0,1,0,0,1,1,1,-0.5075060720789627,-0.5307000094220602
5,1,coinfection,P,3,4,63.1,800.2437617129526,50495.38136408731,N,3/9/16,3/11/16,3/13/16,3/13/16,0,1,NA,NA,NA,shoot,3.1.coinfection.P.4.N,0,1,1,0,1,1,1,-0.5075060720789627,-0.5307000094220602
5,1,coinfection,P,3,4,63.1,800.2437617129526,50495.38136408731,P,3/9/16,3/11/16,3/13/16,3/13/16,0,0.5,NA,NA,NA,shoot,3.1.coinfection.P.4.P,0,1,0,1,1,1,0,-0.5075060720789627,-0.5307000094220602
5,1,coinfection,N,2,3,54.6,30.48345422690652,1664.396600789096,low,2/15/16,2/19/16,2/19/16,2/19/16,0,1,NA,NA,NA,shoot,2.1.coinfection.N.3.low,1,0,0,0,1,1,1,-0.5402900864747481,-0.5510968041635343
5,1,coinfection,N,2,3,54.6,30.48345422690652,1664.396600789096,N,2/15/16,2/19/16,2/19/16,2/19/16,0,1,NA,NA,NA,shoot,2.1.coinfection.N.3.N,1,0,1,0,1,1,1,-0.5402900864747481,-0.5510968041635343
5,1,coinfection,N,2,3,54.6,30.48345422690652,1664.396600789096,N+P,2/15/16,2/19/16,2/19/16,2/19/16,0,1,NA,NA,NA,shoot,2.1.coinfection.N.3.N+P,1,0,1,1,1,1,1,-0.5402900864747481,-0.5510968041635343
5,1,coinfection,N,2,3,54.6,30.48345422690652,1664.396600789096,P,2/15/16,2/19/16,2/19/16,2/19/16,0,0.5,NA,NA,NA,shoot,2.1.coinfection.N.3.P,1,0,0,1,1,1,0,-0.5402900864747481,-0.5510968041635343
5,1,coinfection,N,3,4,64.5,1297.567001255741,83693.0715809953,low,3/9/16,3/11/16,3/13/16,3/13/16,0,1,NA,NA,NA,shoot,3.1.coinfection.N.4.low,1,0,0,0,1,1,1,-0.48632512511928205,-0.516833271396448
5,1,coinfection,N,3,4,64.5,1297.567001255741,83693.0715809953,N,3/9/16,3/11/16,3/13/16,3/13/16,0,1,NA,NA,NA,shoot,3.1.coinfection.N.4.N,1,0,1,0,1,1,1,-0.48632512511928205,-0.516833271396448
5,1,coinfection,N,3,4,64.5,1297.567001255741,83693.0715809953,N+P,3/9/16,3/11/16,3/13/16,3/13/16,0,1,NA,NA,NA,shoot,3.1.coinfection.N.4.N+P,1,0,1,1,1,1,1,-0.48632512511928205,-0.516833271396448
5,1,coinfection,N,3,4,64.5,1297.567001255741,83693.0715809953,P,3/9/16,3/11/16,3/13/16,3/13/16,1,1,NA,NA,NA,shoot,3.1.coinfection.N.4.P,1,0,0,1,1,1,1,-0.48632512511928205,-0.516833271396448
5,1,coinfection,N+P,2,3,68,897.7836201795586,61049.286172209984,low,2/15/16,2/19/16,2/19/16,2/19/16,0,0,NA,NA,NA,shoot,2.1.coinfection.N+P.3.low,1,1,0,0,1,0,0,-0.5033518592765702,-0.5262916234119109
5,1,coinfection,N+P,2,3,68,897.7836201795586,61049.286172209984,N,2/15/16,2/19/16,2/19/16,2/19/16,0,1,NA,NA,NA,shoot,2.1.coinfection.N+P.3.N,1,1,1,0,1,1,1,-0.5033518592765702,-0.5262916234119109
5,1,coinfection,N+P,2,3,68,897.7836201795586,61049.286172209984,N+P,2/15/16,2/19/16,2/19/16,2/19/16,0.5,0,NA,NA,NA,shoot,2.1.coinfection.N+P.3.N+P,1,1,1,1,1,0,0,-0.5033518592765702,-0.5262916234119109
5,1,coinfection,N+P,2,3,68,897.7836201795586,61049.286172209984,P,2/15/16,2/19/16,2/19/16,2/19/16,0,0,NA,NA,NA,shoot,2.1.coinfection.N+P.3.P,1,1,0,1,1,0,0,-0.5033518592765702,-0.5262916234119109
5,1,RPV,low,2,3,60.6,145.3136000909913,8806.004165514072,low,3/31/16,4/1/16,4/1/16,4/4/16,0,1,NA,NA,NA,shoot,2.1.RPV.low.3.low,0,0,0,0,0,1,1,-0.5353994820639114,-0.54811374116925
5,1,RPV,low,2,3,60.6,145.3136000909913,8806.004165514072,N,3/31/16,4/1/16,4/1/16,4/4/16,0,1,NA,NA,NA,shoot,2.1.RPV.low.3.N,0,0,1,0,0,1,1,-0.5353994820639114,-0.54811374116925
5,1,RPV,low,2,3,60.6,145.3136000909913,8806.004165514072,N+P,3/31/16,4/1/16,4/1/16,4/4/16,0,1,NA,NA,NA,shoot,2.1.RPV.low.3.N+P,0,0,1,1,0,1,1,-0.5353994820639114,-0.54811374116925
5,1,RPV,low,2,3,60.6,145.3136000909913,8806.004165514072,P,3/31/16,4/1/16,4/1/16,4/4/16,0,1,NA,NA,NA,shoot,2.1.RPV.low.3.P,0,0,0,1,0,1,1,-0.5353994820639114,-0.54811374116925
5,1,RPV,low,3,4,92,1280.113635991191,117770.45451118956,low,2,2/4/15,3/4/15,3/4/15,0,0.5,NA,NA,NA,shoot,3.1.RPV.low.4.low,0,0,0,0,0,1,0,-0.48706846219775085,-0.5025990840597999
5,1,RPV,low,3,4,92,1280.113635991191,117770.45451118956,N,2,2/4/15,3/4/15,3/4/15,0,1,NA,NA,NA,shoot,3.1.RPV.low.4.N,0,0,1,0,0,1,1,-0.48706846219775085,-0.5025990840597999
5,1,RPV,low,3,4,92,1280.113635991191,117770.45451118956,N+P,2,2/4/15,3/4/15,3/4/15,0,1,NA,NA,NA,shoot,3.1.RPV.low.4.N+P,0,0,1,1,0,1,1,-0.48706846219775085,-0.5025990840597999
5,1,RPV,low,3,4,92,1280.113635991191,117770.45451118956,P,2,2/4/15,3/4/15,3/4/15,0,1,NA,NA,NA,shoot,3.1.RPV.low.4.P,0,0,0,1,0,1,1,-0.48706846219775085,-0.5025990840597999
5,1,RPV,P,3,4,72.2,2083.2186875550005,150408.38924147104,P,2,2/4/15,3/4/15,3/4/15,0,1,NA,NA,NA,shoot,3.1.RPV.P.4.P,0,1,0,1,0,1,1,-0.45286429849154003,-0.48896615696021106
5,1,RPV,P,3,4,72.2,2083.2186875550005,150408.38924147104,low,2,2/4/15,3/4/15,3/4/15,0,1,NA,NA,NA,shoot,3.1.RPV.P.4.low,0,1,0,0,0,1,1,-0.45286429849154003,-0.48896615696021106
5,1,RPV,P,3,4,72.2,2083.2186875550005,150408.38924147104,N,2,2/4/15,3/4/15,3/4/15,0,0.5,NA,NA,NA,shoot,3.1.RPV.P.4.N,0,1,1,0,0,1,0,-0.45286429849154003,-0.48896615696021106
5,1,RPV,P,3,4,72.2,2083.2186875550005,150408.38924147104,N+P,2,2/4/15,3/4/15,3/4/15,0,0.5,NA,NA,NA,shoot,3.1.RPV.P.4.N+P,0,1,1,1,0,1,0,-0.45286429849154003,-0.48896615696021106
5,1,RPV,N+P,3,4,84.6,258.2714528298111,21849.764909402016,P,3/23/16,3/25/16,3/25/16,3/26/16,0,1,NA,NA,NA,shoot,3.1.RPV.N+P.4.P,1,1,0,1,0,1,1,-0.5305886184297487,-0.5426653376230257
8,2,coinfection,low,2,3,65.3,539.3297141722425,35218.23033544743,low,2/24/16,2/26/16,2/26/16,2/26/16,0,1,NA,NA,RT ctrl positive for RPV,shoot,2.2.coinfection.low.3.low,0,0,0,0,1,1,1,-0.5186183752302814,-0.5370813043166057
8,2,coinfection,low,2,3,65.3,539.3297141722425,35218.23033544743,N,2/24/16,2/26/16,2/26/16,2/26/16,0.5,0.5,NA,NA,RT ctrl positive for RPV,shoot,2.2.coinfection.low.3.N,0,0,1,0,1,1,0,-0.5186183752302814,-0.5370813043166057
8,2,coinfection,low,2,3,65.3,539.3297141722425,35218.23033544743,N+P,2/24/16,2/26/16,2/26/16,2/26/16,1,0.5,NA,NA,RT ctrl positive for RPV,shoot,2.2.coinfection.low.3.N+P,0,0,1,1,1,1,0,-0.5186183752302814,-0.5370813043166057
